"","SEQN","RIAGENDR","RIDAGEYR","RIDRETH1","DMDBORN","DMDCITZN","DMDEDUC3","DMDMARTL","DMDFMSIZ","INDFMINC"
"8515",39641,"male",42,"Mexican American","The US","A citizen of the US",20,"Never married",1,11
"8518",39644,"female",58,"Non-Hispanic White","The US","A citizen of the US",20,"Never married",3,4
"8520",39646,"male",51,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,10
"8524",39650,"male",45,"Non-Hispanic White","The US","A citizen of the US",19,"Married",3,11
"8527",39653,"male",32,"Non-Hispanic White","The US","A citizen of the US",19,"Married",4,11
"8531",39657,"female",45,"Mexican American","Mexico","A citizen of the US",16,"Married",3,6
"8533",39659,"female",84,"Non-Hispanic Black","The US","A citizen of the US",18,"Married",2,3
"8534",39660,"female",37,"Non-Hispanic Black","The US","A citizen of the US",17,"Widowed",5,2
"8536",39662,"male",50,"Mexican American","Mexico","A citizen of the US",16,"Married",6,6
"8539",39665,"female",31,"Non-Hispanic White","The US","A citizen of the US",20,"Living with partner",2,11
"8542",39668,"male",37,"Mexican American","Mexico","Not a citizen of the US",19,"Never married",1,5
"8544",39670,"female",36,"Mexican American","The US","A citizen of the US",18,"Married",4,11
"8547",39673,"male",44,"Mexican American","The US","A citizen of the US",17,"Married",5,11
"8548",39674,"male",78,"Non-Hispanic White","The US","A citizen of the US",18,"Widowed",1,6
"8550",39676,"female",67,"Non-Hispanic Black","The US","A citizen of the US",20,"Widowed",2,10
"8551",39677,"male",49,"Non-Hispanic White","The US","A citizen of the US",20,"Married",5,11
"8555",39681,"female",27,"Mexican American","Mexico","Not a citizen of the US",18,"Married",6,6
"8556",39682,"male",29,"Non-Hispanic Black","The US","A citizen of the US",17,"Married",3,8
"8562",39688,"male",53,"Non-Hispanic Black","The US","A citizen of the US",17,"Married",4,6
"8564",39690,"male",69,"Mexican American","Mexico","A citizen of the US",16,"Married",3,6
"8566",39692,"male",39,"Mexican American","Mexico","A citizen of the US",19,"Never married",1,5
"8569",39695,"female",59,"Non-Hispanic White","The US","A citizen of the US",19,"Divorced",1,9
"8570",39696,"female",41,"Non-Hispanic Black","The US","A citizen of the US",20,"Never married",3,5
"8571",39697,"male",53,"Non-Hispanic White","The US","A citizen of the US",18,"Married",7,6
"8574",39700,"female",27,"Non-Hispanic White","The US","A citizen of the US",19,"Married",3,6
"8576",39702,"male",35,"Non-Hispanic Black","The US","A citizen of the US",18,"Divorced",7,8
"8581",39707,"female",41,"Non-Hispanic White","The US","A citizen of the US",18,"Married",4,11
"8586",39712,"female",81,"Non-Hispanic White","The US","A citizen of the US",20,"Widowed",3,10
"8589",39715,"female",40,"Mexican American","The US","A citizen of the US",18,"Married",3,10
"8590",39716,"male",35,"Non-Hispanic Black","The US","A citizen of the US",17,"Living with partner",4,3
"8591",39717,"male",32,"Non-Hispanic White","The US","A citizen of the US",18,"Married",3,11
"8594",39720,"female",25,"Non-Hispanic White","The US","A citizen of the US",19,"Married",4,7
"8595",39721,"female",63,"Mexican American","Mexico","Not a citizen of the US",16,"Separeted",2,1
"8597",39723,"male",59,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"8599",39725,"female",79,"Non-Hispanic White","The US","A citizen of the US",17,"Married",2,5
"8600",39726,"male",29,"Non-Hispanic Black","The US","A citizen of the US",19,"Living with partner",4,9
"8601",39727,"male",72,"Non-Hispanic White","The US","A citizen of the US",16,"Married",3,5
"8602",39728,"female",64,"Non-Hispanic White","The US","A citizen of the US",18,"Divorced",2,11
"8603",39729,"female",44,"Other Race - Including Multi-Racial","Elsewhere","A citizen of the US",19,"Separeted",3,6
"8606",39732,"male",53,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,7
"8608",39734,"male",35,"Mexican American","Mexico","Not a citizen of the US",16,"Married",5,4
"8609",39735,"female",31,"Non-Hispanic Black","The US","A citizen of the US",18,"Living with partner",3,7
"8610",39736,"female",27,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,9
"8620",39746,"male",32,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",3,8
"8625",39751,"female",75,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,6
"8626",39752,"male",72,"Mexican American","Mexico","A citizen of the US",16,"Married",3,7
"8627",39753,"male",35,"Non-Hispanic White","The US","A citizen of the US",18,"Divorced",3,6
"8629",39755,"male",53,"Non-Hispanic White","The US","A citizen of the US",18,"Married",3,10
"8632",39758,"male",51,"Non-Hispanic White","The US","A citizen of the US",18,"Married",4,11
"8635",39761,"male",56,"Non-Hispanic Black","The US","A citizen of the US",17,"Married",2,6
"8638",39764,"female",49,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,8
"8639",39765,"female",34,"Non-Hispanic Black","The US","A citizen of the US",17,"Living with partner",5,8
"8642",39768,"male",34,"Non-Hispanic Black","The US","A citizen of the US",19,"Living with partner",3,7
"8643",39769,"male",27,"Mexican American","Mexico","Not a citizen of the US",16,"Never married",1,2
"8644",39770,"male",28,"Non-Hispanic Black","The US","A citizen of the US",18,"Never married",1,6
"8646",39772,"male",61,"Non-Hispanic White","The US","A citizen of the US",18,"Divorced",1,9
"8647",39773,"male",81,"Non-Hispanic White","The US","A citizen of the US",17,"Widowed",4,6
"8648",39774,"male",32,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",1,4
"8650",39776,"male",29,"Mexican American","Mexico","Not a citizen of the US",16,"Never married",6,4
"8651",39777,"female",21,"Mexican American","Mexico","Not a citizen of the US",16,"Living with partner",4,3
"8654",39780,"female",24,"Non-Hispanic White","The US","A citizen of the US",18,"Living with partner",4,6
"8655",39781,"male",62,"Mexican American","The US","A citizen of the US",19,"Divorced",1,6
"8656",39782,"male",42,"Non-Hispanic White","The US","A citizen of the US",16,"Living with partner",1,7
"8657",39783,"male",68,"Non-Hispanic Black","The US","A citizen of the US",20,"Married",2,5
"8659",39785,"female",71,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,6
"8660",39786,"female",35,"Non-Hispanic White","The US","A citizen of the US",19,"Married",4,8
"8661",39787,"female",38,"Non-Hispanic Black","The US","A citizen of the US",19,"Divorced",3,3
"8664",39790,"female",69,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,8
"8666",39792,"female",77,"Mexican American","The US","A citizen of the US",16,"Married",3,5
"8667",39793,"male",70,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"8668",39794,"male",22,"Other Race - Including Multi-Racial","The US","A citizen of the US",16,"Never married",3,3
"8669",39795,"male",85,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,4
"8670",39796,"female",61,"Non-Hispanic White","The US","A citizen of the US",17,"Living with partner",1,9
"8671",39797,"female",84,"Non-Hispanic White","The US","A citizen of the US",18,"Widowed",1,5
"8676",39802,"female",45,"Non-Hispanic Black","The US","A citizen of the US",17,"Living with partner",1,1
"8678",39804,"female",42,"Non-Hispanic White","The US","A citizen of the US",20,"Living with partner",3,11
"8680",39806,"female",23,"Mexican American","Mexico","Not a citizen of the US",18,"Never married",6,8
"8681",39807,"male",82,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,11
"8682",39808,"female",33,"Non-Hispanic White","The US","A citizen of the US",20,"Married",5,11
"8683",39809,"female",23,"Non-Hispanic Black","The US","A citizen of the US",20,"Living with partner",2,8
"8685",39811,"female",68,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,11
"8687",39813,"male",42,"Mexican American","Mexico","Not a citizen of the US",16,"Married",5,7
"8688",39814,"female",44,"Mexican American","The US","A citizen of the US",19,"Divorced",2,3
"8691",39817,"female",26,"Mexican American","Mexico","Not a citizen of the US",16,"Married",7,7
"8692",39818,"female",39,"Mexican American","The US","A citizen of the US",20,"Married",3,11
"8693",39819,"female",68,"Mexican American","The US","A citizen of the US",16,"Widowed",2,8
"8694",39820,"female",27,"Non-Hispanic White","The US","A citizen of the US",17,"Married",2,10
"8695",39821,"male",38,"Mexican American","The US","A citizen of the US",20,"Never married",1,9
"8702",39828,"female",26,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",2,5
"8703",39829,"female",28,"Mexican American","The US","A citizen of the US",17,"Married",6,9
"8705",39831,"male",66,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"8706",39832,"female",20,"Mexican American","The US","A citizen of the US",18,"Married",2,9
"8707",39833,"female",37,"Other Hispanic","The US","A citizen of the US",17,"Married",5,7
"8708",39834,"female",71,"Non-Hispanic White","The US","A citizen of the US",17,"Married",2,3
"8709",39835,"female",40,"Mexican American","Mexico","Not a citizen of the US",19,"Married",4,5
"8712",39838,"male",58,"Non-Hispanic White","Elsewhere","Not a citizen of the US",19,"Married",1,5
"8713",39839,"male",75,"Non-Hispanic Black","The US","A citizen of the US",18,"Married",3,11
"8714",39840,"female",35,"Non-Hispanic White","The US","A citizen of the US",19,"Married",3,10
"8716",39842,"male",71,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"8717",39843,"female",20,"Mexican American","Mexico","Not a citizen of the US",17,"Married",7,6
"8719",39845,"female",24,"Mexican American","Mexico","Not a citizen of the US",19,"Married",4,7
"8720",39846,"female",31,"Other Race - Including Multi-Racial","Elsewhere","A citizen of the US",18,"Living with partner",6,11
"8721",39847,"female",34,"Non-Hispanic White","The US","A citizen of the US",20,"Married",3,9
"8725",39851,"female",34,"Mexican American","Mexico","Not a citizen of the US",17,"Living with partner",5,4
"8727",39853,"female",63,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,11
"8728",39854,"male",30,"Other Hispanic","The US","A citizen of the US",18,"Married",4,7
"8730",39856,"female",85,"Non-Hispanic White","The US","A citizen of the US",18,"Widowed",1,3
"8732",39858,"female",34,"Mexican American","Mexico","Not a citizen of the US",17,"Married",7,6
"8733",39859,"male",43,"Non-Hispanic White","The US","A citizen of the US",19,"Married",4,11
"8734",39860,"female",58,"Non-Hispanic Black","The US","A citizen of the US",20,"Married",2,11
"8735",39861,"male",63,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",3,5
"8736",39862,"male",46,"Non-Hispanic White","The US","A citizen of the US",19,"Married",4,11
"8738",39864,"female",42,"Non-Hispanic White","The US","A citizen of the US",20,"Married",7,9
"8740",39866,"female",48,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,10
"8742",39868,"male",58,"Mexican American","The US","A citizen of the US",20,"Married",3,8
"8743",39869,"female",48,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"8746",39872,"male",64,"Non-Hispanic White","Elsewhere","A citizen of the US",18,"Married",3,5
"8747",39873,"female",57,"Non-Hispanic Black","The US","A citizen of the US",19,"Widowed",4,8
"8750",39876,"female",80,"Non-Hispanic White","The US","A citizen of the US",17,"Widowed",1,3
"8751",39877,"male",63,"Non-Hispanic Black","The US","A citizen of the US",17,"Divorced",2,7
"8753",39879,"female",79,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,7
"8757",39883,"female",29,"Non-Hispanic White","The US","A citizen of the US",18,"Married",5,5
"8758",39884,"female",47,"Non-Hispanic White","The US","A citizen of the US",19,"Living with partner",1,6
"8759",39885,"female",21,"Non-Hispanic White","The US","A citizen of the US",20,"Never married",6,11
"8760",39886,"female",48,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",2,2
"8766",39892,"male",60,"Non-Hispanic Black","The US","A citizen of the US",17,"Married",3,9
"8768",39894,"male",85,"Mexican American","The US","A citizen of the US",17,"Married",3,5
"8770",39896,"male",32,"Non-Hispanic White","Elsewhere","A citizen of the US",17,"Separeted",3,3
"8774",39900,"female",85,"Non-Hispanic White","The US","A citizen of the US",17,"Widowed",1,3
"8777",39903,"male",36,"Non-Hispanic Black","Elsewhere","A citizen of the US",20,"Married",4,11
"8782",39908,"male",29,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",5,8
"8783",39909,"male",81,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,8
"8784",39910,"female",55,"Other Race - Including Multi-Racial","The US","A citizen of the US",20,"Married",2,5
"8787",39913,"male",75,"Mexican American","The US","A citizen of the US",18,"Married",4,5
"8788",39914,"female",47,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"8790",39916,"female",47,"Mexican American","The US","A citizen of the US",17,"Married",2,6
"8793",39919,"male",74,"Non-Hispanic Black","The US","A citizen of the US",18,"Separeted",1,3
"8794",39920,"female",85,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,8
"8801",39927,"male",46,"Non-Hispanic White","The US","A citizen of the US",20,"Married",4,11
"8803",39929,"male",76,"Mexican American","The US","A citizen of the US",16,"Married",7,6
"8804",39930,"male",50,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",1,2
"8805",39931,"male",56,"Non-Hispanic White","The US","A citizen of the US",17,"Never married",1,2
"8806",39932,"male",63,"Mexican American","The US","A citizen of the US",16,"Married",7,7
"8809",39935,"male",44,"Non-Hispanic White","The US","A citizen of the US",19,"Living with partner",3,6
"8810",39936,"female",42,"Non-Hispanic White","The US","A citizen of the US",19,"Separeted",4,11
"8812",39938,"female",40,"Mexican American","Mexico","Not a citizen of the US",17,"Married",5,4
"8813",39939,"female",20,"Other Hispanic","The US","A citizen of the US",19,"Never married",3,5
"8815",39941,"female",26,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",2,4
"8818",39944,"male",26,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",3,11
"8819",39945,"male",38,"Mexican American","The US","A citizen of the US",17,"Separeted",2,8
"8821",39947,"female",43,"Mexican American","Mexico","Not a citizen of the US",16,"Married",6,5
"8823",39949,"female",63,"Non-Hispanic Black","The US","A citizen of the US",18,"Widowed",2,4
"8827",39953,"male",69,"Mexican American","The US","A citizen of the US",20,"Married",3,11
"8830",39956,"female",35,"Mexican American","Mexico","Not a citizen of the US",18,"Married",5,6
"8831",39957,"female",34,"Mexican American","Mexico","Not a citizen of the US",16,"Living with partner",4,3
"8832",39958,"female",78,"Mexican American","The US","A citizen of the US",18,"Married",2,6
"8833",39959,"male",45,"Mexican American","Mexico","Not a citizen of the US",16,"Married",6,6
"8834",39960,"female",26,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,9
"8835",39961,"female",43,"Other Hispanic","The US","A citizen of the US",19,"Married",3,11
"8836",39962,"male",25,"Non-Hispanic White","The US","A citizen of the US",18,"Married",2,8
"8837",39963,"female",41,"Non-Hispanic White","The US","A citizen of the US",17,"Separeted",2,2
"8839",39965,"female",78,"Non-Hispanic White","The US","A citizen of the US",20,"Married",1,6
"8840",39966,"female",52,"Non-Hispanic White","The US","A citizen of the US",20,"Divorced",1,3
"8842",39968,"female",37,"Non-Hispanic White","The US","A citizen of the US",19,"Living with partner",1,7
"8844",39970,"female",71,"Non-Hispanic Black","The US","A citizen of the US",17,"Widowed",3,6
"8846",39972,"male",60,"Mexican American","The US","A citizen of the US",20,"Married",3,11
"8848",39974,"female",49,"Mexican American","Mexico","A citizen of the US",18,"Married",2,10
"8850",39976,"male",70,"Mexican American","Mexico","Not a citizen of the US",16,"Married",2,2
"8852",39978,"male",48,"Non-Hispanic White","The US","A citizen of the US",19,"Married",5,8
"8853",39979,"male",47,"Non-Hispanic White","The US","A citizen of the US",19,"Married",3,11
"8856",39982,"female",27,"Non-Hispanic White","The US","A citizen of the US",20,"Married",3,8
"8860",39986,"female",52,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,11
"8863",39989,"female",44,"Other Race - Including Multi-Racial","The US","A citizen of the US",20,"Never married",1,2
"8866",39992,"male",26,"Non-Hispanic Black","The US","A citizen of the US",17,"Never married",1,3
"8867",39993,"female",25,"Other Race - Including Multi-Racial","The US","A citizen of the US",18,"Married",5,4
"8869",39995,"male",23,"Non-Hispanic White","The US","A citizen of the US",19,"Divorced",1,3
"8870",39996,"female",21,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",6,11
"8871",39997,"male",61,"Non-Hispanic Black","The US","A citizen of the US",17,"Widowed",1,1
"8874",40000,"male",21,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",2,7
"8875",40001,"female",38,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"8876",40002,"female",75,"Non-Hispanic White","The US","A citizen of the US",18,"Divorced",1,2
"8877",40003,"female",32,"Non-Hispanic White","The US","A citizen of the US",20,"Never married",1,6
"8878",40004,"female",51,"Non-Hispanic White","The US","A citizen of the US",18,"Married",3,7
"8879",40005,"male",70,"Mexican American","The US","A citizen of the US",18,"Married",2,6
"8881",40007,"male",69,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,8
"8882",40008,"male",73,"Non-Hispanic White","The US","A citizen of the US",16,"Married",1,1
"8884",40010,"female",63,"Non-Hispanic White","The US","A citizen of the US",19,"Widowed",2,7
"8885",40011,"male",36,"Mexican American","Mexico","A citizen of the US",19,"Divorced",2,5
"8890",40016,"male",41,"Other Race - Including Multi-Racial","Elsewhere","A citizen of the US",20,"Divorced",5,11
"8891",40017,"female",39,"Mexican American","Mexico","Not a citizen of the US",16,"Separeted",4,3
"8892",40018,"female",23,"Mexican American","The US","A citizen of the US",17,"Divorced",6,3
"8894",40020,"male",20,"Non-Hispanic White","The US","A citizen of the US",18,"Never married",4,9
"8898",40024,"male",41,"Other Race - Including Multi-Racial","Elsewhere","A citizen of the US",20,"Married",5,10
"8899",40025,"male",61,"Mexican American","Mexico","A citizen of the US",16,"Married",4,6
"8902",40028,"female",28,"Mexican American","The US","A citizen of the US",20,"Never married",1,9
"8908",40034,"female",33,"Non-Hispanic White","The US","A citizen of the US",19,"Married",7,6
"8910",40036,"female",27,"Mexican American","The US","A citizen of the US",19,"Married",4,1
"8912",40038,"male",38,"Mexican American","The US","A citizen of the US",19,"Married",5,11
"8913",40039,"female",21,"Non-Hispanic White","The US","A citizen of the US",17,"Never married",2,1
"8915",40041,"female",34,"Non-Hispanic White","The US","A citizen of the US",19,"Living with partner",7,10
"8918",40044,"female",79,"Non-Hispanic White","The US","A citizen of the US",19,"Widowed",1,3
"8920",40046,"female",28,"Mexican American","Mexico","Not a citizen of the US",16,"Living with partner",4,4
"8929",40055,"male",44,"Non-Hispanic White","The US","A citizen of the US",19,"Never married",1,1
"8932",40058,"female",40,"Non-Hispanic White","The US","A citizen of the US",20,"Never married",1,4
"8935",40061,"male",31,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,11
"8937",40063,"male",25,"Mexican American","Mexico","A citizen of the US",17,"Never married",4,7
"8938",40064,"male",56,"Mexican American","Mexico","A citizen of the US",16,"Married",5,6
"8939",40065,"female",63,"Non-Hispanic Black","The US","A citizen of the US",19,"Divorced",1,7
"8941",40067,"female",26,"Mexican American","Mexico","Not a citizen of the US",16,"Living with partner",4,3
"8942",40068,"female",38,"Non-Hispanic White","The US","A citizen of the US",19,"Married",3,11
"8948",40074,"female",72,"Non-Hispanic White","The US","A citizen of the US",18,"Widowed",1,4
"8951",40077,"female",32,"Non-Hispanic Black","The US","A citizen of the US",20,"Married",3,8
"8956",40082,"male",44,"Other Hispanic","Elsewhere","Not a citizen of the US",18,"Married",3,4
"8958",40084,"male",77,"Mexican American","Mexico","A citizen of the US",16,"Married",5,9
"8959",40085,"female",62,"Mexican American","The US","A citizen of the US",19,"Married",2,7
"8962",40088,"female",69,"Mexican American","Mexico","Not a citizen of the US",16,"Married",7,5
"8966",40092,"female",43,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",3,8
"8969",40095,"male",25,"Mexican American","Mexico","Not a citizen of the US",17,"Married",4,7
"8970",40096,"female",31,"Non-Hispanic White","The US","A citizen of the US",19,"Married",3,11
"8971",40097,"female",46,"Other Hispanic","Elsewhere","A citizen of the US",19,"Married",5,11
"8972",40098,"female",23,"Mexican American","Mexico","Not a citizen of the US",19,"Married",2,6
"8973",40099,"male",41,"Mexican American","Mexico","Not a citizen of the US",16,"Separeted",4,6
"8977",40103,"female",22,"Mexican American","The US","A citizen of the US",17,"Living with partner",4,6
"8978",40104,"male",81,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,8
"8980",40106,"male",50,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",3,4
"8982",40108,"male",46,"Non-Hispanic White","The US","A citizen of the US",18,"Married",5,7
"8984",40110,"female",65,"Other Race - Including Multi-Racial","The US","A citizen of the US",16,"Divorced",3,3
"8985",40111,"male",70,"Non-Hispanic White","The US","A citizen of the US",19,"Divorced",1,5
"8986",40112,"male",31,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",4,11
"8992",40118,"male",80,"Mexican American","The US","A citizen of the US",16,"Married",3,6
"8993",40119,"male",36,"Other Hispanic","Elsewhere","A citizen of the US",17,"Never married",5,8
"8996",40122,"female",58,"Mexican American","The US","A citizen of the US",17,"Never married",6,6
"8998",40124,"female",80,"Non-Hispanic Black","The US","A citizen of the US",17,"Divorced",1,3
"9003",40129,"female",74,"Non-Hispanic Black","The US","A citizen of the US",16,"Widowed",2,4
"9005",40131,"male",85,"Non-Hispanic White","The US","A citizen of the US",16,"Widowed",1,2
"9007",40133,"female",21,"Mexican American","The US","A citizen of the US",19,"Never married",1,1
"9009",40135,"male",27,"Non-Hispanic White","The US","A citizen of the US",20,"Never married",1,5
"9010",40136,"female",31,"Mexican American","The US","A citizen of the US",19,"Married",4,11
"9011",40137,"female",32,"Mexican American","The US","A citizen of the US",17,"Married",5,7
"9012",40138,"female",24,"Mexican American","Mexico","Not a citizen of the US",16,"Married",7,3
"9014",40140,"female",24,"Non-Hispanic Black","Elsewhere","Not a citizen of the US",20,"Never married",1,2
"9015",40141,"female",36,"Non-Hispanic White","The US","A citizen of the US",19,"Married",5,11
"9018",40144,"female",24,"Mexican American","The US","A citizen of the US",18,"Living with partner",5,4
"9022",40148,"female",37,"Non-Hispanic Black","The US","A citizen of the US",17,"Never married",4,7
"9023",40149,"female",59,"Non-Hispanic Black","The US","A citizen of the US",18,"Married",3,11
"9025",40151,"male",54,"Non-Hispanic White","The US","A citizen of the US",17,"Married",2,10
"9026",40152,"male",68,"Mexican American","Elsewhere","A citizen of the US",20,"Married",2,11
"9027",40153,"male",46,"Mexican American","Mexico","Not a citizen of the US",16,"Married",3,10
"9028",40154,"female",62,"Mexican American","The US","A citizen of the US",16,"Married",3,3
"9029",40155,"female",40,"Non-Hispanic White","The US","A citizen of the US",20,"Married",4,11
"9032",40158,"female",26,"Mexican American","The US","A citizen of the US",19,"Married",3,7
"9033",40159,"male",36,"Other Race - Including Multi-Racial","Elsewhere","Not a citizen of the US",20,"Married",3,8
"9035",40161,"female",83,"Non-Hispanic White","The US","A citizen of the US",17,"Widowed",1,3
"9038",40164,"female",27,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",2,6
"9039",40165,"female",85,"Non-Hispanic White","The US","A citizen of the US",20,"Widowed",1,7
"9043",40169,"male",27,"Non-Hispanic White","The US","A citizen of the US",18,"Separeted",6,6
"9045",40171,"male",29,"Mexican American","Mexico","Not a citizen of the US",16,"Living with partner",4,3
"9046",40172,"male",68,"Mexican American","Mexico","A citizen of the US",16,"Married",4,5
"9050",40176,"female",54,"Other Hispanic","Elsewhere","Not a citizen of the US",16,"Married",3,9
"9052",40178,"female",53,"Non-Hispanic White","The US","A citizen of the US",20,"Married",1,6
"9063",40189,"male",35,"Other Hispanic","Elsewhere","A citizen of the US",19,"Never married",1,1
"9064",40190,"male",72,"Non-Hispanic Black","The US","A citizen of the US",18,"Divorced",1,2
"9065",40191,"female",33,"Non-Hispanic White","The US","A citizen of the US",19,"Married",5,6
"9067",40193,"female",68,"Non-Hispanic White","The US","A citizen of the US",20,"Never married",1,7
"9070",40196,"male",59,"Other Race - Including Multi-Racial","The US","A citizen of the US",20,"Married",5,11
"9073",40199,"female",47,"Mexican American","Mexico","Not a citizen of the US",16,"Living with partner",7,11
"9074",40200,"female",44,"Non-Hispanic White","The US","A citizen of the US",18,"Divorced",3,7
"9077",40203,"female",51,"Other Hispanic","Elsewhere","Not a citizen of the US",19,"Divorced",5,7
"9078",40204,"female",85,"Non-Hispanic White","The US","A citizen of the US",20,"Widowed",5,6
"9084",40210,"female",59,"Non-Hispanic Black","The US","A citizen of the US",19,"Divorced",1,6
"9085",40211,"female",62,"Non-Hispanic White","The US","A citizen of the US",17,"Divorced",1,3
"9087",40213,"female",40,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",5,9
"9091",40217,"male",71,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,10
"9094",40220,"female",45,"Non-Hispanic White","The US","A citizen of the US",20,"Married",4,11
"9095",40221,"female",24,"Non-Hispanic Black","The US","A citizen of the US",17,"Never married",2,3
"9099",40225,"female",66,"Non-Hispanic White","The US","A citizen of the US",19,"Divorced",1,6
"9100",40226,"female",36,"Non-Hispanic White","The US","A citizen of the US",18,"Married",3,10
"9105",40231,"male",33,"Other Hispanic","Elsewhere","Not a citizen of the US",16,"Married",2,7
"9106",40232,"male",26,"Mexican American","The US","A citizen of the US",19,"Married",4,11
"9107",40233,"female",23,"Non-Hispanic Black","The US","A citizen of the US",18,"Never married",3,1
"9108",40234,"female",36,"Mexican American","The US","A citizen of the US",18,"Never married",5,11
"9109",40235,"male",61,"Mexican American","The US","A citizen of the US",17,"Living with partner",2,3
"9111",40237,"male",85,"Non-Hispanic White","The US","A citizen of the US",17,"Married",2,3
"9113",40239,"male",70,"Non-Hispanic White","The US","A citizen of the US",16,"Married",2,4
"9118",40244,"male",46,"Non-Hispanic Black","The US","A citizen of the US",19,"Married",4,11
"9122",40248,"female",74,"Non-Hispanic White","The US","A citizen of the US",17,"Married",3,2
"9123",40249,"female",58,"Non-Hispanic White","The US","A citizen of the US",20,"Married",2,8
"9127",40253,"female",27,"Non-Hispanic Black","The US","A citizen of the US",18,"Living with partner",1,8
"9128",40254,"female",29,"Non-Hispanic White","The US","A citizen of the US",19,"Married",5,11
"9130",40256,"female",29,"Mexican American","The US","A citizen of the US",19,"Married",4,10
"9132",40258,"female",68,"Non-Hispanic Black","The US","A citizen of the US",19,"Widowed",2,9
"9134",40260,"female",33,"Non-Hispanic White","The US","A citizen of the US",20,"Married",5,11
"9135",40261,"female",44,"Non-Hispanic White","The US","A citizen of the US",19,"Separeted",2,1
"9136",40262,"male",37,"Non-Hispanic White","The US","A citizen of the US",20,"Never married",1,8
"9137",40263,"male",41,"Non-Hispanic Black","Elsewhere","A citizen of the US",20,"Married",3,6
"9139",40265,"female",52,"Non-Hispanic White","The US","A citizen of the US",19,"Married",5,9
"9148",40274,"male",33,"Other Hispanic","Elsewhere","Not a citizen of the US",16,"Living with partner",1,1
"9149",40275,"male",35,"Non-Hispanic Black","Elsewhere","Not a citizen of the US",20,"Married",4,8
"9151",40277,"male",78,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,7
"9152",40278,"female",28,"Mexican American","Mexico","Not a citizen of the US",19,"Married",2,11
"9154",40280,"male",66,"Mexican American","Mexico","A citizen of the US",19,"Married",2,8
"9156",40282,"female",67,"Mexican American","The US","A citizen of the US",18,"Married",2,4
"9160",40286,"female",72,"Non-Hispanic White","The US","A citizen of the US",17,"Divorced",4,7
"9161",40287,"female",33,"Non-Hispanic Black","Elsewhere","Not a citizen of the US",18,"Married",4,1
"9164",40290,"female",31,"Non-Hispanic Black","The US","A citizen of the US",19,"Never married",5,8
"9165",40291,"male",28,"Mexican American","Mexico","Not a citizen of the US",18,"Married",4,10
"9167",40293,"male",82,"Non-Hispanic White","The US","A citizen of the US",19,"Married",2,7
"9169",40295,"male",64,"Non-Hispanic Black","The US","A citizen of the US",18,"Married",2,8
"9170",40296,"female",30,"Non-Hispanic White","The US","A citizen of the US",20,"Married",5,7
"9172",40298,"male",52,"Non-Hispanic White","The US","A citizen of the US",18,"Never married",2,5
